;?????: 0;????? : 1
00:00:00,050,600;-0,2075;-2,0996
00:00:00,050,700;-0,2588;-2,1606
00:00:00,050,800;-0,2686;-2,2095
00:00:00,050,900;-0,2881;-2,2583
00:00:00,051,000;-0,2783;-2,3291
00:00:00,051,100;-0,2979;-2,3682
00:00:00,051,200;-0,3271;-2,4487
00:00:00,051,300;-0,3369;-2,4976
00:00:00,051,400;-0,3589;-2,5488
00:00:00,051,500;-0,3784;-2,627
00:00:00,051,600;-0,3784;-2,666
00:00:00,051,700;-0,3979;-2,7466
00:00:00,051,800;-0,4175;-2,7954
00:00:00,051,900;-0,4272;-2,8467
00:00:00,052,000;-0,4272;-2,8955
00:00:00,052,100;-0,4468;-2,9565
00:00:00,052,200;-0,437;-2,9956
00:00:00,052,300;-0,437;-3,0347
00:00:00,052,400;-0,4468;-3,1055
00:00:00,052,500;-0,4663;-3,1543
00:00:00,052,600;-0,437;-3,1958
00:00:00,052,700;-0,4468;-3,2739
00:00:00,052,800;-0,437;-3,313
00:00:00,052,900;-0,4175;-3,3936
00:00:00,053,000;-0,4272;-3,4131
00:00:00,053,100;-0,4175;-3,4839
00:00:00,053,200;-0,4175;-3,5229
00:00:00,053,300;-0,4077;-3,5718
00:00:00,053,400;-0,4077;-3,6035
00:00:00,053,500;-0,3882;-3,6523
00:00:00,053,600;-0,4077;-3,6816
00:00:00,053,700;-0,3979;-3,7134
00:00:00,053,800;-0,3687;-3,7329
00:00:00,053,900;-0,3784;-3,7427
00:00:00,054,000;-0,3687;-3,7622
00:00:00,054,100;-0,3589;-3,772
00:00:00,054,200;-0,3271;-3,772
00:00:00,054,300;-0,3589;-3,772
00:00:00,054,400;-0,3467;-3,772
00:00:00,054,500;-0,3467;-3,7622
00:00:00,054,600;-0,3369;-3,7329
00:00:00,054,700;-0,3369;-3,6328
00:00:00,054,800;-0,3589;-3,562
00:00:00,054,900;-0,3369;-3,5132
00:00:00,055,000;-0,3369;-3,4229
00:00:00,055,100;-0,3467;-3,3545
00:00:00,055,200;-0,3369;-3,2739
00:00:00,055,300;-0,3687;-3,1836
00:00:00,055,400;-0,3369;-3,0859
00:00:00,055,500;-0,3589;-3,0054
00:00:00,055,600;-0,3467;-2,8955
00:00:00,055,700;-0,3784;-2,8076
00:00:00,055,800;-0,3589;-2,7075
00:00:00,055,900;-0,3784;-2,6074
00:00:00,056,000;-0,3687;-2,5269
00:00:00,056,100;-0,3784;-2,439
00:00:00,056,200;-0,3979;-2,3486
00:00:00,056,300;-0,3882;-2,2388
00:00:00,056,400;-0,3979;-2,1289
00:00:00,056,500;-0,3687;-2,0288
00:00:00,056,600;-0,3979;-1,9116
00:00:00,056,700;-0,3784;-1,792
00:00:00,056,800;-0,3882;-1,6919
00:00:00,056,900;-0,3979;-1,582
00:00:00,057,000;-0,3784;-1,4624
00:00:00,057,100;-0,3979;-1,333
00:00:00,057,200;-0,3882;-1,2231
00:00:00,057,300;-0,3784;-1,1035
00:00:00,057,400;-0,3882;-0,9937
00:00:00,057,500;-0,3784;-0,8643
00:00:00,057,600;-0,3687;-0,7471
00:00:00,057,700;-0,3784;-0,647
00:00:00,057,800;-0,3369;-0,5078
00:00:00,057,900;-0,3687;-0,3979
00:00:00,058,000;-0,3369;-0,2686
00:00:00,058,100;-0,3271;-0,1392
00:00:00,058,200;-0,3271;-0,0098
00:00:00,058,300;-0,3369;0,0806
00:00:00,058,400;-0,3076;0,2197
00:00:00,058,500;-0,2881;0,3394
00:00:00,058,600;-0,2783;0,4492
00:00:00,058,700;-0,2881;0,5688
00:00:00,058,800;-0,2588;0,6885
00:00:00,058,900;-0,2686;0,7959
00:00:00,059,000;-0,2686;0,8862
00:00:00,059,100;-0,1489;0,9961
00:00:00,059,200;-0,0781;1,0864
00:00:00,059,300;0,0293;1,1743
00:00:00,059,400;0,0708;1,2744
00:00:00,059,500;0,1196;1,3452
00:00:00,059,600;0,1587;1,4331
00:00:00,059,700;0,1807;1,5137
00:00:00,059,800;0,2197;1,5723
00:00:00,059,900;0,2295;1,6528
00:00:00,060,000;0,2588;1,7114
00:00:00,060,100;0,2588;1,7725
00:00:00,060,200;0,2686;1,8408
00:00:00,060,300;0,2881;1,9116
00:00:00,060,400;0,2881;1,9824
00:00:00,060,500;0,2881;2,0117
00:00:00,060,600;0,3101;2,0898
00:00:00,060,700;0,3198;2,1313
00:00:00,060,800;0,3394;2,1899
00:00:00,060,900;0,3296;2,251
00:00:00,061,000;0,3394;2,3193
00:00:00,061,100;0,3491;2,3486
00:00:00,061,200;0,3491;2,4194
00:00:00,061,300;0,3589;2,4683
00:00:00,061,400;0,3784;2,5195
00:00:00,061,500;0,3589;2,5684
