;?????: 0;????? : 1
00:00:00,201,100;0,3394;2,3389
00:00:00,201,200;0,3394;2,3999
00:00:00,201,300;0,3589;2,4487
00:00:00,201,400;0,3687;2,4902
00:00:00,201,500;0,3687;2,5488
00:00:00,201,600;0,3687;2,6074
00:00:00,201,700;0,3784;2,6685
00:00:00,201,800;0,4077;2,7271
00:00:00,201,900;0,3979;2,7979
00:00:00,202,000;0,3882;2,8564
00:00:00,202,100;0,4077;2,9077
00:00:00,202,200;0,4395;2,9565
00:00:00,202,300;0,4297;3,0176
00:00:00,202,400;0,4395;3,0859
00:00:00,202,500;0,459;3,147
00:00:00,202,600;0,459;3,2153
00:00:00,202,700;0,4688;3,2446
00:00:00,202,800;0,4688;3,3154
00:00:00,202,900;0,4785;3,3545
00:00:00,203,000;0,4688;3,4253
00:00:00,203,100;0,4785;3,4644
00:00:00,203,200;0,4688;3,5034
00:00:00,203,300;0,4883;3,5449
00:00:00,203,400;0,498;3,5938
00:00:00,203,500;0,498;3,6426
00:00:00,203,600;0,498;3,6743
00:00:00,203,700;0,498;3,6841
00:00:00,203,800;0,5078;3,7329
00:00:00,203,900;0,4883;3,7524
00:00:00,204,000;0,498;3,7427
00:00:00,204,100;0,498;3,7622
00:00:00,204,200;0,4785;3,7842
00:00:00,204,300;0,4883;3,7842
00:00:00,204,400;0,4785;3,7842
00:00:00,204,500;0,4785;3,7622
00:00:00,204,600;0,498;3,7427
00:00:00,204,700;0,4785;3,6743
00:00:00,204,800;0,459;3,5938
00:00:00,204,900;0,4883;3,5132
00:00:00,205,000;0,498;3,4546
00:00:00,205,100;0,498;3,3643
00:00:00,205,200;0,4785;3,2861
00:00:00,205,300;0,4883;3,2056
00:00:00,205,400;0,459;3,125
00:00:00,205,500;0,4688;3,0371
00:00:00,205,600;0,459;2,9272
00:00:00,205,700;0,4492;2,8467
00:00:00,205,800;0,4175;2,7368
00:00:00,205,900;0,4492;2,6587
00:00:00,206,000;0,4175;2,5586
00:00:00,206,100;0,4395;2,4683
00:00:00,206,200;0,4175;2,3608
00:00:00,206,300;0,4395;2,2705
00:00:00,206,400;0,4077;2,1802
00:00:00,206,500;0,4175;2,0508
00:00:00,206,600;0,4297;1,9604
00:00:00,206,700;0,4175;1,8311
00:00:00,206,800;0,3979;1,7432
00:00:00,206,900;0,4077;1,6138
00:00:00,207,000;0,3882;1,4941
00:00:00,207,100;0,3687;1,3843
00:00:00,207,200;0,4077;1,2646
00:00:00,207,300;0,3882;1,145
00:00:00,207,400;0,3784;1,0254
00:00:00,207,500;0,4077;0,896
00:00:00,207,600;0,3882;0,7764
00:00:00,207,700;0,3979;0,647
00:00:00,207,800;0,4077;0,5469
00:00:00,207,900;0,3784;0,4175
00:00:00,208,000;0,3882;0,3101
00:00:00,208,100;0,3979;0,1807
00:00:00,208,200;0,4077;0,061
00:00:00,208,300;0,4175;-0,0586
00:00:00,208,400;0,4297;-0,188
00:00:00,208,500;0,4297;-0,3076
00:00:00,208,600;0,4395;-0,4272
00:00:00,208,700;0,4395;-0,5371
00:00:00,208,800;0,4297;-0,6372
00:00:00,208,900;0,4297;-0,7349
00:00:00,209,000;0,4395;-0,8545
00:00:00,209,100;0,4077;-0,9546
00:00:00,209,200;0,2686;-1,0645
00:00:00,209,300;0,1294;-1,1743
00:00:00,209,400;0,0708;-1,2744
00:00:00,209,500;0,0513;-1,3525
00:00:00,209,600;0,0098;-1,4429
00:00:00,209,700;-0,0098;-1,5234
00:00:00,209,800;-0,0391;-1,5723
00:00:00,209,900;-0,0781;-1,6309
00:00:00,210,000;-0,0684;-1,7017
00:00:00,210,100;-0,1099;-1,77
00:00:00,210,200;-0,1294;-1,8213
00:00:00,210,300;-0,1587;-1,8799
00:00:00,210,400;-0,1685;-1,9409
00:00:00,210,500;-0,1782;-2,0093
00:00:00,210,600;-0,1978;-2,0605
00:00:00,210,700;-0,2295;-2,1289
00:00:00,210,800;-0,249;-2,1704
00:00:00,210,900;-0,2686;-2,229
00:00:00,211,000;-0,2783;-2,2778
00:00:00,211,100;-0,3076;-2,3486
00:00:00,211,200;-0,3174;-2,4072
00:00:00,211,300;-0,3271;-2,4683
00:00:00,211,400;-0,3467;-2,5171
00:00:00,211,500;-0,3687;-2,5879
00:00:00,211,600;-0,3882;-2,6465
00:00:00,211,700;-0,4077;-2,6978
00:00:00,211,800;-0,4272;-2,7563
00:00:00,211,900;-0,3882;-2,8174
00:00:00,212,000;-0,437;-2,8662
00:00:00,212,100;-0,437;-2,915
00:00:00,212,200;-0,4468;-2,9565
00:00:00,212,300;-0,4565;-3,0054
00:00:00,212,400;-0,4468;-3,0664
00:00:00,212,500;-0,437;-3,1152
00:00:00,212,600;-0,4565;-3,1738
00:00:00,212,700;-0,4468;-3,2251
00:00:00,212,800;-0,4175;-3,2837
00:00:00,212,900;-0,437;-3,3447
00:00:00,213,000;-0,4175;-3,4033
00:00:00,213,100;-0,4175;-3,4546
00:00:00,213,200;-0,4272;-3,4839
00:00:00,213,300;-0,4175;-3,5425
00:00:00,213,400;-0,3784;-3,584
00:00:00,213,500;-0,3687;-3,6133
00:00:00,213,600;-0,3687;-3,6621
00:00:00,213,700;-0,3784;-3,6914
00:00:00,213,800;-0,3979;-3,7134
00:00:00,213,900;-0,3784;-3,7329
00:00:00,214,000;-0,3784;-3,7622
00:00:00,214,100;-0,3589;-3,772
00:00:00,214,200;-0,3467;-3,7915
00:00:00,214,300;-0,3589;-3,7817
00:00:00,214,400;-0,3467;-3,7622
00:00:00,214,500;-0,3369;-3,772
00:00:00,214,600;-0,3467;-3,7427
00:00:00,214,700;-0,3174;-3,7134
00:00:00,214,800;-0,3467;-3,623
00:00:00,214,900;-0,3271;-3,5229
00:00:00,215,000;-0,3369;-3,4644
00:00:00,215,100;-0,3271;-3,3838
00:00:00,215,200;-0,3174;-3,3032
00:00:00,215,300;-0,3467;-3,2153
00:00:00,215,400;-0,3467;-3,1348
00:00:00,215,500;-0,3687;-3,0444
00:00:00,215,600;-0,3687;-2,9565
00:00:00,215,700;-0,3589;-2,8467
00:00:00,215,800;-0,3784;-2,7563
00:00:00,215,900;-0,3882;-2,6563
00:00:00,216,000;-0,3882;-2,5684
00:00:00,216,100;-0,3687;-2,4878
00:00:00,216,200;-0,3882;-2,3779
00:00:00,216,300;-0,3882;-2,2778
00:00:00,216,400;-0,3784;-2,1802
00:00:00,216,500;-0,3882;-2,0605
00:00:00,216,600;-0,3784;-1,9702
00:00:00,216,700;-0,3882;-1,8604
00:00:00,216,800;-0,3979;-1,7505
00:00:00,216,900;-0,3882;-1,6309
00:00:00,217,000;-0,3882;-1,5332
00:00:00,217,100;-0,3784;-1,4038
00:00:00,217,200;-0,3369;-1,2939
00:00:00,217,300;-0,3687;-1,1646
00:00:00,217,400;-0,3589;-1,0449
00:00:00,217,500;-0,3687;-0,9253
00:00:00,217,600;-0,4077;-0,8057
00:00:00,217,700;-0,3589;-0,6763
00:00:00,217,800;-0,3369;-0,5664
00:00:00,217,900;-0,3467;-0,4468
00:00:00,218,000;-0,3369;-0,3174
00:00:00,218,100;-0,3369;-0,188
00:00:00,218,200;-0,2881;-0,0586
00:00:00,218,300;-0,3467;0,0415
00:00:00,218,400;-0,2979;0,1709
00:00:00,218,500;-0,2979;0,2881
00:00:00,218,600;-0,2881;0,3979
00:00:00,218,700;-0,2979;0,5078
00:00:00,218,800;-0,2783;0,6274
00:00:00,218,900;-0,2783;0,7373
00:00:00,219,000;-0,2783;0,8374
00:00:00,219,100;-0,2393;0,9473
00:00:00,219,200;-0,1294;1,0449
00:00:00,219,300;-0,0293;1,1548
00:00:00,219,400;0,0708;1,2158
00:00:00,219,500;0,1099;1,3037
00:00:00,219,600;0,1587;1,3843
00:00:00,219,700;0,1709;1,4648
00:00:00,219,800;0,2002;1,543
00:00:00,219,900;0,2197;1,604
00:00:00,220,000;0,2393;1,6821
00:00:00,220,100;0,2588;1,7334
00:00:00,220,200;0,2588;1,792
00:00:00,220,300;0,2686;1,8628
00:00:00,220,400;0,2783;1,9312
00:00:00,220,500;0,2881;2,002
00:00:00,220,600;0,3003;2,0508
00:00:00,220,700;0,3101;2,1021
00:00:00,220,800;0,3101;2,1704
00:00:00,220,900;0,3101;2,2192
00:00:00,221,000;0,3589;2,2607
00:00:00,221,100;0,3394;2,3389
00:00:00,221,200;0,3491;2,3706
00:00:00,221,300;0,3491;2,4292
00:00:00,221,400;0,3491;2,478
00:00:00,221,500;0,3589;2,5391
00:00:00,221,600;0,3882;2,5977
00:00:00,221,700;0,3784;2,6685
00:00:00,221,800;0,3784;2,7271
00:00:00,221,900;0,3979;2,7979
00:00:00,222,000;0,3979;2,8369
00:00:00,222,100;0,4297;2,9077
00:00:00,222,200;0,4395;2,9468
00:00:00,222,300;0,4297;3,0176
00:00:00,222,400;0,4297;3,0566
00:00:00,222,500;0,4297;3,125
00:00:00,222,600;0,4395;3,1665
00:00:00,222,700;0,459;3,2446
00:00:00,222,800;0,459;3,2959
00:00:00,222,900;0,459;3,3447
00:00:00,223,000;0,4785;3,396
00:00:00,223,100;0,4883;3,4448
00:00:00,223,200;0,4785;3,5034
00:00:00,223,300;0,4785;3,5449
00:00:00,223,400;0,498;3,584
00:00:00,223,500;0,4883;3,623
00:00:00,223,600;0,498;3,6646
00:00:00,223,700;0,4883;3,6938
00:00:00,223,800;0,498;3,7231
00:00:00,223,900;0,5078;3,7427
00:00:00,224,000;0,498;3,7427
00:00:00,224,100;0,4785;3,7622
00:00:00,224,200;0,4883;3,7622
00:00:00,224,300;0,5078;3,7842
00:00:00,224,400;0,4883;3,772
00:00:00,224,500;0,4785;3,7524
00:00:00,224,600;0,4883;3,7427
00:00:00,224,700;0,4688;3,6938
00:00:00,224,800;0,4785;3,5938
00:00:00,224,900;0,4883;3,5254
00:00:00,225,000;0,4785;3,4448
00:00:00,225,100;0,4785;3,3838
00:00:00,225,200;0,4395;3,2959
00:00:00,225,300;0,4492;3,2251
00:00:00,225,400;0,459;3,125
00:00:00,225,500;0,459;3,0273
00:00:00,225,600;0,4395;2,937
00:00:00,225,700;0,4492;2,8467
00:00:00,225,800;0,4395;2,7686
00:00:00,225,900;0,4297;2,6489
00:00:00,226,000;0,4297;2,5781
00:00:00,226,100;0,4297;2,4683
00:00:00,226,200;0,4077;2,3706
00:00:00,226,300;0,3979;2,2705
