  29.290        110.50	    14.866
  29.300        114.50	    15.133
  29.310        100.50	    14.177
  29.320        108.50	    14.731
  29.330        104.00	    14.422
  29.340        112.50	    15.000
  29.350        110.50	    14.866
  29.360        126.00	    15.875
  29.370        109.00	    14.765
  29.380        105.50	    14.526
  29.390        129.00	    16.062
  29.400        127.50	    15.969
  29.410        120.50	    15.524
  29.420        122.50	    15.652
  29.430        126.00	    15.875
  29.440        114.50	    15.133
  29.450        116.50	    15.264
  29.460        122.50	    15.652
  29.470        115.50	    15.199
  29.480        111.50	    14.933
  29.490        129.50	    16.093
  29.500        116.50	    15.264
  29.510        124.50	    15.780
  29.520        133.50	    16.340
  29.530        127.50	    15.969
  29.540        115.50	    15.199
  29.550        129.50	    16.093
  29.560        121.00	    15.556
  29.570        118.50	    15.395
  29.580        117.50	    15.330
  29.590        107.50	    14.663
  29.600        110.50	    14.866
  29.610        103.00	    14.353
  29.620        113.50	    15.067
  29.630        113.50	    15.067
  29.640        105.50	    14.526
  29.650        119.50	    15.460
  29.660        111.00	    14.900
  29.670        104.00	    14.422
  29.680         96.00	    13.856
  29.690         95.50	    13.820
  29.700        112.00	    14.967
  29.710        114.50	    15.133
  29.720        122.50	    15.652
  29.730        114.00	    15.100
  29.740        120.50	    15.524
  29.750        100.50	    14.177
  29.760         99.00	    14.071
  29.770         94.00	    13.711
  29.780        107.00	    14.629
  29.790        107.50	    14.663
  29.800        105.50	    14.526
  29.810        104.50	    14.457
  29.820        118.00	    15.362
  29.830         99.00	    14.071
  29.840        110.00	    14.832
  29.850        102.00	    14.283
  29.860        105.00	    14.491
  29.870         86.00	    13.115
  29.880        114.50	    15.133
  29.890         95.50	    13.820
  29.900        113.00	    15.033
  29.910         99.00	    14.071
  29.920        112.50	    15.000
  29.930        111.50	    14.933
  29.940         97.50	    13.964
  29.950        108.50	    14.731
  29.960        112.00	    14.967
  29.970        104.50	    14.457
  29.980        102.50	    14.318
  29.990        101.50	    14.248
  30.000        105.00	    14.491
  30.010        107.50	    14.663
  30.020        109.50	    14.799
  30.030        104.50	    14.457
  30.040        106.50	    14.595
  30.050        103.50	    14.387
  30.060         96.50	    13.892
  30.070        104.00	    14.422
  30.080        115.00	    15.166
  30.090        117.50	    15.330
  30.100         94.50	    13.748
  30.110         94.00	    13.711
  30.120        110.00	    14.832
  30.130        102.00	    14.283
  30.140        113.50	    15.067
  30.150        103.50	    14.387
  30.160        104.00	    14.422
